id,datetime,sentiment,text,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59
9.40588E+17,12/12/17 14:23,0.336666667,"Consumer Confidence is at an All-Time High, along with a Record High Stock Market. Unemployment is at a 17 year low. MAKE AMERICA GREAT AGAIN! Working to pass MASSIVE TAX CUTS (looking good).",consumer,confidence,is,at,an,all-time,high,along,with,a,record,high,stock,market,unemployment,is,at,a,17,year,low,make,america,great,again,working,to,pass,massive,tax,cuts,looking,good,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.41292E+17,14/12/17 12:59,0.272777778,"Republican Tax Cuts are looking very good. All are working hard. In the meantime, the Stock Market hit another record high!",republican,tax,cuts,are,looking,very,good,all,are,working,hard,in,the,meantime,the,stock,market,hit,another,record,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.43079E+17,19/12/17 11:23,0.292857143,"Stocks and the economy have a long way to go after the Tax Cut Bill is totally understood and appreciated in scope and size. Immediate expensing will have a big impact. Biggest Tax Cuts and Reform EVER passed. Enjoy, and create many beautiful JOBS!",stocks,and,the,economy,have,a,long,way,to,go,after,the,tax,cut,bill,is,totally,understood,and,appreciated,in,scope,and,size,immediate,expensing,will,have,a,big,impact,biggest,tax,cuts,and,reform,ever,passed,enjoy,and,create,many,beautiful,jobs,,,,,,,,,,,,,,,,
9.44222E+17,22/12/17 15:04,0.22,"With all my Administration has done on Legislative Approvals (broke Harry Truman’s Record), Regulation Cutting, Judicial Appointments, Building Military, VA, TAX CUTS &amp, REFORM, Record Economy/Stock Market and so much more, I am sure great credit will be given by mainstream news?",with,all,my,administration,has,done,on,legislative,approvals,broke,harry,trumans,record,regulation,cutting,judicial,appointments,building,military,va,tax,cuts,&,reform,record,economystock,market,and,so,much,more,i,am,sure,great,credit,will,be,given,by,mainstream,news,,,,,,,,,,,,,,,,,,
9.447E+17,23/12/17 22:44,0.025,"The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished by the Trump Administration, perhaps more than any other President in first year. Sadly, will never be reported correctly by the Fake News Media!",the,stock,market,is,setting,record,after,record,and,unemployment,is,at,a,17,year,low,so,many,things,accomplished,by,the,trump,administration,perhaps,more,than,any,other,president,in,first,year,sadly,will,never,be,reported,correctly,by,the,fake,news,media,,,,,,,,,,,,,,,,
9.45781E+17,26/12/17 22:17,0.345833333,"All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!",all,signs,are,that,business,is,looking,really,good,for,next,year,only,to,be,helped,further,by,our,tax,cut,bill,will,be,a,great,year,for,companies,and,jobs,stock,market,is,poised,for,another,year,of,success,,,,,,,,,,,,,,,,,,,,
9.47328E+17,31/12/17 4:46,0,“Trump Rally: Stocks put 2017 in the record books” https://t.co/0foQGaFjMh,trump,rally,stocks,put,2017,in,the,record,books,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.48739E+17,4/1/18 2:11,0.144753086,"Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. Dow just short of 25,000, a number that few thought would be possible this soon into my administration. Also, unemployment went down to 4.1%. Only getting better!",stock,market,had,another,good,day,but,now,that,the,tax,cut,bill,has,passed,we,have,tremendous,upward,potential,dow,just,short,of,25000,a,number,that,few,thought,would,be,possible,this,soon,into,my,administration,also,unemployment,went,down,to,41,only,getting,better,,,,,,,,,,,,,
9.49129E+17,5/1/18 4:04,-0.078977273,"The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in the U.S. is booming...but the people know! Can you imagine if “O” was president and had these numbers - would be biggest story on earth! Dow now over 25,000.",the,fake,news,media,barely,mentions,the,fact,that,the,stock,market,just,hit,another,new,record,and,that,business,in,the,us,is,boomingbut,the,people,know,can,you,imagine,if,o,was,president,and,had,these,numbers,-,would,be,biggest,story,on,earth,dow,now,over,25000,,,,,,,,,,
9.49611E+17,6/1/18 11:57,-0.006397306,"Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down 350 points (billions of dollars), was suspended for a month but is now back at ABC NEWS in a lower capacity. He is no longer allowed to report on Trump. Should have been fired!",brian,ross,the,reporter,who,made,a,fraudulent,live,newscast,about,me,that,drove,the,stock,market,down,350,points,billions,of,dollars,was,suspended,for,a,month,but,is,now,back,at,abc,news,in,a,lower,capacity,he,is,no,longer,allowed,to,report,on,trump,should,have,been,fired,,,,,,,,
