DATE,SP500
28/10/19,3039.42
29/10/19,3036.89
30/10/19,3046.77
31/10/19,3037.56
1/11/19,3066.91
4/11/19,3078.27
5/11/19,3074.62
6/11/19,3076.78
7/11/19,3085.18
8/11/19,3093.08
11/11/19,3087.01
12/11/19,3091.84
13/11/19,3094.04
14/11/19,3096.63
15/11/19,3120.46
18/11/19,3122.03
19/11/19,3120.18
20/11/19,3108.46
21/11/19,3103.54
22/11/19,3110.29
25/11/19,3133.64
26/11/19,3140.52
27/11/19,3153.63
28/11/19,.
29/11/19,3140.98
2/12/19,3113.87
3/12/19,3093.2
4/12/19,3112.76
5/12/19,3117.43
6/12/19,3145.91
9/12/19,3135.96
10/12/19,3132.52
11/12/19,3141.63
12/12/19,3168.57
13/12/19,3168.8
16/12/19,3191.45
17/12/19,3192.52
18/12/19,3191.14
19/12/19,3205.37
20/12/19,3221.22
23/12/19,3224.01
24/12/19,3223.38
25/12/19,.
26/12/19,3239.91
27/12/19,3240.02
30/12/19,3221.29
31/12/19,3230.78
1/1/20,.
2/1/20,3257.85
3/1/20,3234.85
6/1/20,3246.28
7/1/20,3237.18
8/1/20,3253.05
9/1/20,3274.7
10/1/20,3265.35
13/1/20,3288.13
14/1/20,3283.15
15/1/20,3289.29
16/1/20,3316.81
17/1/20,3329.62
20/1/20,.
21/1/20,3320.79
22/1/20,3321.75
23/1/20,3325.54
24/1/20,3295.47
27/1/20,3243.63
28/1/20,3276.24
29/1/20,3273.4
30/1/20,3283.66
31/1/20,3225.52
3/2/20,3248.92
4/2/20,3297.59
5/2/20,3334.69
6/2/20,3345.78
7/2/20,3327.71
10/2/20,3352.09
11/2/20,3357.75
12/2/20,3379.45
13/2/20,3373.94
14/2/20,3380.16
17/2/20,.
18/2/20,3370.29
19/2/20,3386.15
20/2/20,3373.23
21/2/20,3337.75
24/2/20,3225.89
25/2/20,3128.21
26/2/20,3116.39
27/2/20,2978.76
28/2/20,2954.22
2/3/20,3090.23
3/3/20,3003.37
4/3/20,3130.12
5/3/20,3023.94
6/3/20,2972.37
9/3/20,2746.56
10/3/20,2882.23
11/3/20,2741.38
12/3/20,2480.64
13/3/20,2711.02
16/3/20,2386.13
17/3/20,2529.19
18/3/20,2398.1
19/3/20,2409.39
20/3/20,2304.92
23/3/20,2237.4
24/3/20,2447.33
25/3/20,2475.56
26/3/20,2630.07
27/3/20,2541.47
30/3/20,2626.65
31/3/20,2584.59
1/4/20,2470.5
